position,longsnapper,height,weight,draftage,bench,forty,fortyelectric,verticaljump,broadjump,threecone,shuttle,drafted
OL,0,81.25,322,22.11232877,19,5.4,5.43,28.5,95,7.47,4.66,1
OL,0,81,317,24.22739726,16,5.46,5.79,26.75,96.624,8.28,5,1
OL,0,80.75,324,22.52054795,18,5.53,5.54,24.5,87.5,8.18,4.9,1
OL,0,80,335,23.27671233,17,0,5.453,28,96,8.047,4.918,1
OL,0,80,320,25.24383562,22,0,5.28,33.5,93,7.5,4.61,1
OL,0,79.75,340.4,21.71506849,27,5.37,5.42,24.5,102.5,0,0,1
OL,0,79.5,322,25.4109589,25,5.31,5.39,21,97,0,4.74,1
OL,0,79.5,316,23.23561644,18,5.22,5.4,32.5,109,0,4.62,1
OL,0,79.375,307,22.13150685,12,5.5,5.68,20.5,90.5,0,4.9,0
OL,0,79.25,263,22.59452055,18,5.44,5.69,21.5,92.5,0,4.93,1
OL,0,79,290,24.95342466,19,0,5.464,25,95.5,7.99,4.809,1
DL,0,78.875,235,22.82739726,3,5.17,0,22,99,0,4.59,0
OL,0,78.75,309,22.4109589,28,5.25,5.51,36,100.5,0,4.62,1
DL,0,78.75,291,22.49041096,17,5.2,5.44,28,104,0,4.67,1
DL,0,78.75,274.4,22.46575342,19,5.01,5.25,36,105.2,0,0,1
OL,0,78.625,287,23.54794521,13,5.5,5.91,22,104.5,0,5.13,0
LB,0,78.625,235,23.0109589,2,5.12,5.27,27.5,110,0,4.55,0
DL,0,78.5,276.8,23.26849315,15,4.97,5,25.5,102,0,0,1
OL,0,78.5,274,23.75890411,21,5.41,0,29,98.5,0,4.19,0
OL,0,78.25,319,25.19726027,15,5.64,5.6,24,97.5,8.9,5.13,1
OL,0,78.25,296,22.58630137,0,5.31,5.53,24,92.5,0,4.99,1
OL,0,78.25,292,23.11232877,15,5.73,5.87,23.5,93.5,0,5.12,0
OL,0,78.125,322,22.04383562,0,5.8,6.03,21,93,0,5.07,1
DL,0,78.125,299,25.34520548,33,4.96,5.18,26.5,104.5,0,4.57,1
DL,0,78.125,275,23.67123288,18,5.05,5.29,30,109.5,0,4.78,1
OL,0,78,328,23.23561644,29,0,5.19,26.5,96,8.11,4.9,1
OL,0,78,320,25.11232877,21,0,5.48,24.5,97.5,8.03,4.97,1
OL,0,78,312,23.39726027,18,0,5.36,24.5,100,8.27,4.98,1
OL,0,78,306,21.81917808,13,0,5.543,26.5,98.75,7.8,4.84,1
OL,0,78,302,22.71232877,26,0,0,34,96.96,7.5,4.59,1
OL,0,77.875,299,21.85205479,21,0,5.33,27,98,7.73,4.68,1
OL,0,77.75,308,22.9890411,9,5.43,5.47,24,86.5,8.25,5.13,0
QB,0,77.75,223,24.1369863,16,4.78,5.04,35,118,0,4.67,0
DL,0,77.625,280,23.56986301,13,5.12,5.33,27.5,107,0,5.01,0
OL,0,77.5,295,25.29315068,19,5.65,5.87,27,96.5,0,4.75,1
OL,0,77.5,285,22.70684932,24,5.19,5.14,33,105.5,8.06,4.94,1
DL,0,77.5,256,0,10,5.31,5.64,25,101,0,5.2,0
OL,0,77.375,296,24.3260274,16,5.39,0,21.75,91.5,0,4.87,1
OL,0,77.375,287,23.23287671,16,5.6,5.75,27.5,88.5,0,4.97,0
OL,0,77.25,291,21.35890411,12,5.36,5.58,26,101,0,4.78,1
WR,0,77.125,235.8,24.0630137,9,4.95,5.04,33,112.6,0,0,1
OL,0,77,339,22.90958904,16,0,5.55,23,94.25,8.6,5.03,1
DL,0,77,310,24.90958904,15,0,5.306,37,102.5,7.512,4.508,1
OL,0,77,295,22.04383562,20,0,5.586,22.5,94,8.47,5.15,1
OL,0,77,295,21.64383562,26,0,5.313,31,110.5,7.857,4.503,1
OL,0,77,292,22.55890411,17,0,4.984,31,107.75,7.41,4.78,1
DL,1,77,290,23.05753425,21,0,5.241,27.5,98.5,7.612,4.448,1
WR,0,77,220,22.74794521,14,0,4.823,30.5,114.5,7.5,4.41,1
QB,0,77,218,0,6,0,5.37,23,89.5,8.35,4.72,0
WR,0,77,202,22.6109589,15,0,4.623,32.5,120,0,4.19,1
OL,0,76.875,295,22.90410959,21,5.53,5.72,24.5,94,0,5.03,1
DL,0,76.875,242,24.08767123,9,5.04,0,32.5,114,0,4.66,0
OL,0,76.75,302,22.40821918,21,5.62,0,20,86,0,4.95,0
DL,0,76.75,290,23.3260274,19,5.22,5.4,35,109,0,4.85,1
DL,0,76.75,270,21.92876712,30,4.93,5.2,29.5,114.5,0,4.55,1
WR,0,76.75,221,25.71506849,7,4.84,5.03,27.5,108,0,4.32,0
OL,0,76.625,320,21.65753425,20,5.59,5.76,29,80,8.25,5.09,0
DL,0,76.5,273,24.61917808,19,5.19,5.44,27.5,94,0,4.69,0
WR,0,76.5,237,22.46575342,18,4.81,5.05,36,124.25,0,4.55,0
WR,0,76.5,216.2,22.78356164,13,4.74,4.78,33.5,115.2,0,0,1
OL,0,76.375,299,23.09863014,21,5.43,5.53,25,101,8.02,4.85,1
DL,0,76.375,290,23.34794521,23,5.25,5.35,22.5,99,0,4.91,0
OL,0,76.25,323,23.43013699,13,5.46,5.79,21,94.5,8.56,5.12,1
OL,0,76.25,310,22.24931507,32,0,5.28,27,99,7.59,4.62,1
RB,0,76.25,227,21.68219178,9,0,5.32,19.5,91,7.5,4.37,0
WR,0,76.25,223,22.09041096,16,4.72,5.03,31,106,0,4.44,0
WR,0,76.25,218,25.99452055,0,4.78,4.97,27.5,109.5,0,4.36,0
WR,0,76.25,212,22.66575342,2,4.67,4.8,37,118,0,4.3,1
DL,0,76.125,301,22.76164384,20,5.31,0,28.5,92,0,4.81,0
OL,0,76,330,26.65205479,47,5.91,5.95,27.5,89,7.97,5.13,1
OL,0,76,329,23.63287671,24,0,5.384,27,96.75,7.67,4.79,1
DL,0,76,327,23.2739726,24,0,5.349,24,96.25,8.11,4.87,1
DL,0,76,319,24.55616438,27,5.19,5.46,29.5,105.5,0,4.6,1
OL,0,76,314,24.21643836,22,5.46,5.64,27.5,100,0,4.68,1
OL,0,76,308,0,13,0,5.426,23.5,95.5,7.885,4.761,1
OL,0,76,306,23.65479452,16,5.58,5.75,23.5,97.5,0,4.91,1
OL,0,76,305,23.79726027,21,5.28,5.29,30,103.5,8.03,4.82,1
OL,0,76,303,23.17260274,25,0,5.27,28,107.25,0,4.59,1
OL,0,76,303,22.30684932,21,0,5.304,27.5,97.5,7.76,4.72,1
OL,0,76,300,21.55890411,29,0,5.474,24.5,90,8.25,5.09,1
OL,0,76,298.5,22.48219178,19,5.59,5.85,26,95.5,0,4.98,1
OL,0,76,296,26.09041096,15,5.43,5.63,27.5,105.5,0,4.8,1
OL,0,76,295,0,14,0,5.802,24.5,99.5,8.326,4.946,0
OL,0,76,294,25.44383562,27,0,5.385,30,102.5,7.69,4.78,1
OL,0,76,293,23.90684932,24,0,5.01,31,108.25,7.91,4.69,1
OL,0,76,292,22.24383562,24,0,5.243,26,102,7.76,4.72,1
DL,0,76,290,22.3369863,36,0,5.221,33.5,103,7.444,4.45,1
OL,0,76,290,0,16,0,5.296,29.5,103.5,8.037,4.73,0
DL,0,76,288,24.35890411,19,0,5.3,26.5,100.25,7.99,4.72,1
DL,0,76,286.2,23.61369863,16,5.09,5.22,27,106,0,0,1
OL,0,76,285,22.7260274,24,0,5.124,34,106,7.566,4.568,1
DL,0,76,282,21.69863014,21,0,5.12,31.5,93.75,7.66,4.58,1
OL,0,76,279,24.00273973,14,5.38,5.43,25.5,96.072,7.88,4.8,1
DL,0,76,276,24.07945205,0,5.53,5.76,26.5,90,0,4.59,0
OL,0,76,272,23.82739726,22,5.31,5.34,25,91.5,8.09,4.88,0
DL,0,76,270,23.25479452,17,0,5.146,27.5,103.5,7.63,4.84,0
DL,0,76,266,24.89863014,26,4.74,4.91,35,117,0,4.45,1
DL,0,76,247.4,24.59452055,21,4.75,4.95,37,130,0,0,1
DL,0,76,246.4,22.85205479,16,5.02,5.02,27,106.5,0,0,1
RB,0,76,245,0,23,0,5.021,26.5,101,7.46,4.53,1
LB,0,76,243,24.36438356,9,4.7,4.94,32.5,109.32,7.25,4.43,1
RB,0,76,238,23.33424658,21,4.67,0,35,109,0,4.31,1
WR,0,76,233,22.09589041,24,0,4.69,34,128.5,6.92,4.13,1
LB,0,76,232,24.23835616,16,5.02,5.24,28.5,108,0,4.42,1
WR,0,76,204,23.27945205,8,0,4.547,34,116.75,7.38,4.47,1
WR,0,76,200,22.68493151,9,4.77,5.12,29,107,0,4.71,0
OL,0,75.875,315,25.65753425,15,5.88,6.09,20,88,0,5.08,1
WR,0,75.875,221,22.38356164,6,4.78,4.99,34,122,0,4.31,1
WR,0,75.875,215,22.27671233,7,4.68,0,34.25,115.5,0,4.39,1
QB,0,75.875,204,24.45753425,6,5.14,0,25.5,105,0,4.53,0
OL,0,75.75,329,22.53972603,0,0,5.62,24,87.5,8.33,5.11,0
DL,0,75.75,329,22.5890411,12,5.92,5.97,26,95.25,8.88,5.19,0
OL,0,75.75,315,21.65205479,18,5.45,5.53,28.5,100.5,7.94,4.75,1
DL,0,75.75,292.6,23.95616438,23,4.97,5.17,29.5,111,0,0,1
DL,0,75.75,254,21.67123288,16,0,4.93,32,108,7.01,4.18,0
WR,0,75.75,236,23.95342466,18,4.83,5.02,29,110,0,4.51,1
LB,0,75.75,226.2,23.1369863,18,4.83,5.06,30.5,116.5,0,0,1
WR,0,75.75,212,23.13150685,8,4.56,4.79,35.5,123,0,4.49,1
OL,0,75.625,303,22.6109589,30,5.46,0,28,103.5,0,4.73,1
OL,0,75.625,297,22.70958904,21,5.03,5.31,31,106,7.97,4.66,1
OL,0,75.625,283,21.78630137,18,5.21,5.46,27,100.5,0,4.75,1
DL,0,75.625,261.2,23.22191781,13,5.59,5.74,21.5,106,0,0,0
QB,0,75.625,234.6,25.35616438,15,5.02,5.25,27.5,107,0,0,1
